!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Tuesday, April 18, 2017 16:29:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8651062500,-0.51335239,-0.31762162,-0.18380949,-0.76451421,-0.18580545,-0.76331997,-0.29405969,0.52752471
8653625000,-0.51224595,-0.31806463,-0.18502332,-0.76396108,-0.18557756,-0.76422453,-0.29454249,0.5275197
8656187500,-0.51486754,-0.31965813,-0.18561909,-0.76485205,-0.187031,-0.76552492,-0.29504108,0.5292449
8658750000,-0.5145632,-0.32017428,-0.18617971,-0.76643771,-0.18770824,-0.76504493,-0.29462543,0.5307436
8661312500,-0.51501173,-0.31647718,-0.18551594,-0.76497787,-0.18864213,-0.76427555,-0.29365253,0.52863985
8663875000,-0.51572102,-0.31868339,-0.18633591,-0.766855,-0.19097055,-0.76526749,-0.29396111,0.52951652
8666437500,-0.5150522,-0.31611902,-0.18863221,-0.76548994,-0.18897566,-0.76279563,-0.29261094,0.52898115
8669000000,-0.51495868,-0.31637809,-0.18914232,-0.7620092,-0.19043262,-0.76151359,-0.28925744,0.52881497
8671562500,-0.51399988,-0.31644449,-0.19014949,-0.76230383,-0.19065154,-0.76631951,-0.28965464,0.5300647
8674125000,-0.51564848,-0.31654006,-0.19160505,-0.76366079,-0.19401897,-0.76419801,-0.29037362,0.53109688
8676687500,-0.51599765,-0.31621808,-0.18974635,-0.76430112,-0.19438872,-0.7627061,-0.28854242,0.53128409
8679250000,-0.51398921,-0.31599927,-0.1907299,-0.7646904,-0.19052227,-0.76469213,-0.28921789,0.53081673
8681812500,-0.51390052,-0.31619698,-0.18928011,-0.76541424,-0.18993264,-0.76447845,-0.28861251,0.52902573
8684375000,-0.51553452,-0.31590274,-0.19105168,-0.76374859,-0.19419821,-0.76324421,-0.2872124,0.52948987
8686937500,-0.51400471,-0.31544402,-0.19323364,-0.76311231,-0.19195265,-0.76311296,-0.28655201,0.53031886
8689500000,-0.51372743,-0.31506264,-0.19325803,-0.76281327,-0.19540501,-0.76546019,-0.28557193,0.53057623
8692062500,-0.51494122,-0.31511712,-0.19510379,-0.76349258,-0.1955722,-0.7628181,-0.28590053,0.53088433
8694625000,-0.51520699,-0.31491405,-0.19283254,-0.76599348,-0.19606045,-0.76337785,-0.28468972,0.53030008
8697187500,-0.5146572,-0.31409612,-0.194993,-0.76230752,-0.19595136,-0.76564634,-0.28432518,0.53131557
8699750000,-0.51385403,-0.31389019,-0.19736625,-0.76396525,-0.19651856,-0.76284719,-0.2833952,0.53178471
8702312500,-0.51352543,-0.314899,-0.1943936,-0.76308137,-0.19795713,-0.76230937,-0.28215405,0.53258151
8704875000,-0.51397872,-0.31416675,-0.19477504,-0.7633006,-0.19934037,-0.76373941,-0.28153563,0.53290606
8707437500,-0.51437747,-0.31334928,-0.19780295,-0.76100528,-0.19947045,-0.76381743,-0.28072372,0.53113735
8710000000,-0.51330352,-0.31158489,-0.19724995,-0.76374549,-0.19967517,-0.76267463,-0.2804521,0.53369623
8712562500,-0.51365888,-0.31080586,-0.20004088,-0.7646758,-0.20149499,-0.76246792,-0.27678156,0.53436697
8715125000,-0.5148114,-0.31261614,-0.20008947,-0.76353484,-0.2012085,-0.76385611,-0.27681917,0.5339281
8717687500,-0.51739466,-0.31312513,-0.19940412,-0.76323718,-0.20155214,-0.76422691,-0.27730229,0.53329766
8720250000,-0.51521707,-0.31200185,-0.19879641,-0.76469326,-0.20085573,-0.76264441,-0.27806032,0.53415364
8722812500,-0.51202101,-0.31131372,-0.19979732,-0.76391745,-0.20206738,-0.76137954,-0.27606112,0.53368407
8725375000,-0.51638973,-0.31207454,-0.20163532,-0.76388717,-0.20263469,-0.76282573,-0.27584577,0.5358966
8727937500,-0.51565802,-0.31347433,-0.20332401,-0.76487786,-0.20609306,-0.76270449,-0.27337602,0.53641135
8730500000,-0.51605034,-0.31289473,-0.20466404,-0.76242238,-0.20575318,-0.7621339,-0.27034765,0.53499407
8733062500,-0.51777226,-0.31345043,-0.20349962,-0.76379085,-0.2063185,-0.76315725,-0.27181998,0.53569394
8735625000,-0.51507872,-0.31310809,-0.20447971,-0.7617985,-0.20649503,-0.76450902,-0.27056774,0.53855598
8738187500,-0.51506549,-0.31244475,-0.20397654,-0.76176685,-0.20680349,-0.76296109,-0.27116284,0.53536797
8740750000,-0.51610702,-0.31152144,-0.20689607,-0.76115191,-0.20658019,-0.7625376,-0.26800931,0.53862971
8743312500,-0.51373035,-0.31208581,-0.20636523,-0.76102012,-0.20579182,-0.76141626,-0.26890591,0.53941137
8745875000,-0.51511729,-0.31253299,-0.20645803,-0.76219869,-0.20794453,-0.76341587,-0.2687,0.539967
8748437500,-0.51560736,-0.31279674,-0.20802678,-0.76536125,-0.21052252,-0.7612164,-0.26796949,0.54050589
8751000000,-0.51488107,-0.31234288,-0.20889837,-0.76159954,-0.20929544,-0.76332974,-0.26703745,0.54069144
8753562500,-0.51546627,-0.31182271,-0.20836936,-0.76137447,-0.21191737,-0.76266855,-0.26568612,0.54034615
8756125000,-0.51661581,-0.3119548,-0.20951509,-0.75940239,-0.21235001,-0.75977892,-0.26517558,0.53991967
8758687500,-0.51457739,-0.31130913,-0.21062122,-0.76175719,-0.2101334,-0.75933594,-0.26375911,0.54085368
8761250000,-0.51490283,-0.31179366,-0.20975846,-0.75922418,-0.21307589,-0.76038349,-0.26323375,0.54176432
8763812500,-0.51584113,-0.31152147,-0.21092334,-0.76146072,-0.21556072,-0.7595765,-0.26279223,0.54274297
8766375000,-0.51565474,-0.31126881,-0.2123996,-0.76058722,-0.21327765,-0.75871855,-0.26207778,0.54215562
8768937500,-0.51672155,-0.31149513,-0.21315338,-0.76129025,-0.21687919,-0.76009446,-0.26150429,0.54335696
8771500000,-0.51680493,-0.31136855,-0.21419835,-0.75921088,-0.21739744,-0.75791436,-0.26014319,0.54292572
8774062500,-0.51546943,-0.3119168,-0.21166228,-0.75932604,-0.21564457,-0.75808084,-0.26093039,0.54465646
8776625000,-0.51604456,-0.31123936,-0.21410871,-0.76154292,-0.21840885,-0.75809294,-0.25937679,0.54610652
8779187500,-0.51612318,-0.31056219,-0.21394043,-0.75883156,-0.21957329,-0.75821179,-0.25932515,0.54450083
8781750000,-0.51704788,-0.31113482,-0.21630208,-0.75775397,-0.21764039,-0.75851882,-0.25822705,0.54331553
8784312500,-0.51628715,-0.31080946,-0.21586952,-0.75992876,-0.2168566,-0.75613576,-0.25941637,0.54483962
8786875000,-0.51726186,-0.30978563,-0.21579508,-0.75815719,-0.21718338,-0.75940448,-0.25935113,0.54605407
8789437500,-0.51850671,-0.31153709,-0.21810131,-0.7575236,-0.21833743,-0.75928479,-0.25768504,0.54497719
8792000000,-0.51852125,-0.31134999,-0.21900068,-0.75972319,-0.21935195,-0.75863993,-0.25501058,0.5476132
8794562500,-0.517874,-0.31035006,-0.21927771,-0.75768983,-0.220874,-0.75709361,-0.25420964,0.54507411
8797125000,-0.51746339,-0.31100464,-0.21837652,-0.75450724,-0.22187771,-0.75879931,-0.25293291,0.54529381
8799687500,-0.51963031,-0.310197,-0.21765114,-0.75947618,-0.22067423,-0.75679803,-0.25747657,0.5464173
8802250000,-0.5183323,-0.3087672,-0.21924396,-0.75796461,-0.22022383,-0.75741696,-0.25463098,0.54547209
8804812500,-0.51765561,-0.30791989,-0.2204126,-0.75733232,-0.22134863,-0.75741321,-0.25458035,0.54814023
8807375000,-0.516716,-0.31016806,-0.22225048,-0.75742096,-0.22342241,-0.75748283,-0.25247309,0.54754484
8809937500,-0.51625204,-0.30850813,-0.22145408,-0.75829619,-0.22290823,-0.75669444,-0.25318953,0.54772085
8812500000,-0.51742947,-0.31049532,-0.22127029,-0.75853044,-0.2233575,-0.75833338,-0.25117972,0.54921144
8815062500,-0.5181706,-0.30926362,-0.22299035,-0.75491834,-0.22518773,-0.75609714,-0.24958061,0.54626262
8817625000,-0.51506203,-0.30835512,-0.22130811,-0.75564539,-0.22417834,-0.75481898,-0.24901624,0.54736066
8820187500,-0.51741964,-0.30926344,-0.22253971,-0.75653815,-0.22550897,-0.75732785,-0.24902415,0.54862976
8822750000,-0.51728958,-0.30804139,-0.22317837,-0.75698888,-0.22574593,-0.75626349,-0.24813166,0.54793572
8825312500,-0.51758373,-0.30842835,-0.22394474,-0.75610632,-0.22694227,-0.75600195,-0.24763538,0.54888344
