!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Tuesday, April 18, 2017 16:33:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
8812500000,0.99649489,32.351559,7.4569987e-005,116.79057,5.8136011e-005,21.156433,0.27953282,-71.1558
8815062500,0.9947896,32.111065,8.053895e-005,33.39698,7.5597047e-005,53.361691,0.27765578,-71.421501
8817625000,0.9909783,31.920576,8.3252715e-005,23.997213,5.248599e-005,46.376442,0.27778837,-71.501373
8820187500,0.99326479,31.835014,7.8980163e-005,110.34971,8.5505577e-005,110.23029,0.2778478,-71.486481
8822750000,0.99323404,31.542603,2.6895877e-005,50.21423,5.0286635e-005,23.682678,0.27695912,-71.542732
8825312500,0.99444991,31.589468,0.00013492534,55.967678,1.0828913e-005,31.083826,0.27658418,-71.628616
8827875000,0.99447322,31.697313,5.2321237e-005,-85.608498,7.0627837e-005,158.55998,0.27657983,-71.740028
8830437500,0.99325758,31.460377,8.3389874e-005,39.317692,6.5261091e-005,15.971523,0.27580991,-71.533493
8833000000,0.99315566,31.389874,8.1128768e-005,14.505497,7.3103314e-005,117.15875,0.27599689,-71.550186
8835562500,0.99290854,31.186232,1.8157168e-006,131.48024,6.4512788e-005,-37.016747,0.27536312,-71.661507
8838125000,0.99375451,31.014107,1.622735e-005,105.01292,6.2135943e-005,82.065895,0.2744942,-71.661469
8840687500,0.99380475,30.875277,0.00011003819,41.482922,1.4757068e-005,49.743114,0.27490896,-71.704666
8843250000,0.9960506,30.950397,5.967886e-005,65.81308,1.7111126e-005,112.03248,0.27339271,-71.591225
8845812500,0.99211776,30.841457,4.9454997e-005,126.52875,5.3617019e-005,28.2987,0.27363339,-71.346466
8848375000,0.99283886,30.65995,7.4814365e-005,27.837969,0.00012366615,38.276482,0.27408075,-71.541931
8850937500,0.99374056,30.612297,8.2174638e-006,133.96812,4.1300347e-005,10.876156,0.27366301,-71.334663
8853500000,0.99216747,30.524632,6.9308655e-005,22.063074,5.4975076e-006,1.1330205,0.274279,-71.269531
8856062500,0.99437356,30.412855,9.6242213e-005,145.67659,0.00014869898,2.4350471,0.27381194,-71.414337
8858625000,0.99225038,30.298908,7.9860423e-005,42.581852,8.3845232e-005,109.33118,0.27392676,-70.762672
8861187500,0.99363458,30.118078,6.5894987e-005,77.967735,1.9582067e-005,59.878635,0.27416092,-70.927536
8863750000,0.99326605,30.180082,7.2612485e-005,30.765966,6.2399326e-005,78.384613,0.27498946,-70.669868
8866312500,0.99143571,29.990927,3.0101357e-005,106.87985,3.0462827e-005,-21.433784,0.27589312,-71.043098
8868875000,0.99066353,29.872011,0.00012155826,-8.0709419,5.4391916e-005,15.701124,0.27644673,-71.069855
8871437500,0.99246126,29.98954,7.8762729e-005,-0.14708208,8.6317727e-005,84.681381,0.27554828,-70.998695
8874000000,0.99428266,29.753674,5.5455625e-005,1.195137,6.9099879e-005,-2.0612383,0.27605367,-71.277336
8876562500,0.99564689,29.69383,5.6639892e-005,101.85719,3.4357449e-006,63.948952,0.27671689,-71.385056
8879125000,0.99191546,29.583237,7.7645404e-005,132.02206,0.00013962993,113.1339,0.27720708,-71.408546
8881687500,0.99521542,29.518633,3.7093254e-005,31.59269,7.1413044e-005,-56.270466,0.2785247,-71.616562
8884250000,0.99284357,29.099686,0.00014448562,29.338182,1.5309764e-005,-101.11617,0.27735418,-71.757721
8886812500,0.99353677,29.422491,5.9335202e-005,43.074123,2.9385232e-005,-133.59758,0.27692759,-72.155754
8889375000,0.98913801,29.286085,9.0743772e-005,-30.248104,5.1248422e-005,117.62542,0.27708066,-72.329346
8891937500,0.99555242,29.038212,7.6251126e-005,-10.157037,3.5376808e-005,-27.114738,0.27560163,-72.479576
8894500000,0.99470061,29.098068,1.382053e-005,68.896049,7.7431498e-005,-41.31189,0.2748715,-72.501816
8897062500,0.99667162,28.781263,3.5469311e-005,142.01279,0.00011685497,45.214188,0.27336112,-72.531494
8899625000,0.99581146,28.814123,0.00011108739,58.355,9.3899595e-005,33.957523,0.27231383,-72.530037
8902187500,0.99439836,28.670368,2.6476186e-005,43.569817,2.2215872e-005,131.36392,0.27175614,-72.470673
8904750000,0.99114656,28.359932,3.4438883e-005,102.87959,5.3078973e-005,20.799849,0.2714836,-72.665573
8907312500,0.99049193,28.591482,1.7925833e-005,142.8224,9.7295422e-005,1.749009,0.27155003,-72.671669
8909875000,0.99641997,28.369947,7.8652374e-005,0.60020721,4.4751559e-005,-52.573242,0.27115729,-72.55806
8912437500,0.99077505,28.198149,2.8781667e-005,139.35008,4.8879581e-005,28.112122,0.27046189,-72.586891
