Freq(Hz)	RL(%)
8688250000.0	96.677586925
8690875000.0	96.9964595267
8693500000.0	98.3834303007
8696125000.0	97.1402122196
8698750000.0	97.9156950229
8701375000.0	97.2000397602
8704000000.0	98.6042979044
8706625000.0	97.7393522628
8709250000.0	97.6353917527
8711875000.0	98.3022386914
8714500000.0	97.82842938
8717125000.0	96.8450491913
8719750000.0	97.4155986054
8722375000.0	97.1223292384
8725000000.0	96.9063026448
8727625000.0	95.900222779
8730250000.0	98.0165885015
8732875000.0	96.8319729504
8735500000.0	96.9570219216
8738125000.0	95.5244713272
8740750000.0	97.3058354387
8743375000.0	97.1505424387
8746000000.0	96.135711382
8748625000.0	96.3247825319
8751250000.0	97.2482106042
8753875000.0	96.2283461293
8756500000.0	96.3266973989
8759125000.0	96.5668708061
8761750000.0	96.1125054383
8764375000.0	96.4682797251
8767000000.0	96.5161554851
8769625000.0	96.4222887365
8772250000.0	96.4538132215
8774875000.0	97.421153114
8777500000.0	97.1447932256
8780125000.0	97.311490876
8782750000.0	96.4111932169
8785375000.0	96.7460175211
8788000000.0	96.8129656129
8790625000.0	95.8507747615
8793250000.0	97.5337296996
8795875000.0	95.9163819797
8798500000.0	96.8571260928
8801125000.0	96.86669094
8803750000.0	95.8032746494
8806375000.0	97.8595548542
8809000000.0	95.8935554026
8811625000.0	97.7155541664
8814250000.0	97.4244269206
8816875000.0	96.9176007849
8819500000.0	96.7806452253
8822125000.0	96.4872786721
8824750000.0	96.31751589
8827375000.0	96.1222106788
8830000000.0	96.6071136702
8832625000.0	96.6720655898
8835250000.0	97.571692213
8837875000.0	96.9376812431
8840500000.0	96.1862272319
8843125000.0	97.8777695623
8845750000.0	97.1212981811
8848375000.0	96.1947340061
8851000000.0	96.5377886732
8853625000.0	97.3811168255
8856250000.0	97.9561784784
8858875000.0	96.4705334246
8861500000.0	97.4891106524
8864125000.0	95.9887153132
8866750000.0	96.3454729453
8869375000.0	96.706265181
8872000000.0	96.5148722706
8874625000.0	96.626982658
8877250000.0	96.4427687534
8879875000.0	95.9338169126
8882500000.0	96.3667398217
8885125000.0	96.4263573188
8887750000.0	95.8993380287
8890375000.0	95.7866043297
8893000000.0	97.2890587942
8895625000.0	96.3271844817
8898250000.0	95.9379773561
8900875000.0	97.1441435299
8903500000.0	94.8692931833
8906125000.0	97.179100526
8908750000.0	96.3406168383
8911375000.0	96.3423757342
8914000000.0	96.4440509239
8916625000.0	96.59831139
8919250000.0	96.6710654276
8921875000.0	96.3764932124
8924500000.0	96.2579755321
8927125000.0	96.3610035605
8929750000.0	97.2408810452
8932375000.0	96.6458617289
8935000000.0	96.9945017027
8937625000.0	96.2280345336
8940250000.0	96.6360687831
