

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2008_01_14_23-04-08.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 135	 1 min	18:55 14.01.08	18:56 14.01.08	0000000035	0.583 	0.380  
 136	 1 min	18:56 14.01.08	18:57 14.01.08	0000000041	0.683 	0.445  
 137	 1 min	18:57 14.01.08	18:58 14.01.08	0000000023	0.383 	0.250  
 138	 1 min	18:58 14.01.08	18:59 14.01.08	0000000034	0.567 	0.369  
 139	 1 min	18:59 14.01.08	19:00 14.01.08	0000000036	0.600 	0.391  
 140	 1 min	19:00 14.01.08	19:01 14.01.08	0000000035	0.583 	0.380  
 141	 1 min	19:01 14.01.08	19:02 14.01.08	0000000036	0.600 	0.391  
 142	 1 min	19:02 14.01.08	19:03 14.01.08	0000000026	0.433 	0.282  
 143	 1 min	19:03 14.01.08	19:04 14.01.08	0000000041	0.683 	0.445  
 144	 1 min	19:04 14.01.08	19:05 14.01.08	0000000029	0.483 	0.315  
 145	 1 min	19:05 14.01.08	19:06 14.01.08	0000000030	0.500 	0.326  
 146	 1 min	19:06 14.01.08	19:07 14.01.08	0000000026	0.433 	0.282  
 147	 1 min	19:07 14.01.08	19:08 14.01.08	0000000026	0.433 	0.282  
 148	 1 min	19:08 14.01.08	19:09 14.01.08	0000000030	0.500 	0.326  
 149	 1 min	19:09 14.01.08	19:10 14.01.08	0000000033	0.550 	0.358  
 150	 1 min	19:10 14.01.08	19:11 14.01.08	0000000034	0.567 	0.369  
 151	 1 min	19:11 14.01.08	19:12 14.01.08	0000000024	0.400 	0.261  
 152	 1 min	19:12 14.01.08	19:13 14.01.08	0000000039	0.650 	0.423  
 153	 1 min	19:13 14.01.08	19:14 14.01.08	0000000030	0.500 	0.326  
 154	 1 min	19:14 14.01.08	19:15 14.01.08	0000000026	0.433 	0.282  
 155	 1 min	19:15 14.01.08	19:16 14.01.08	0000000027	0.450 	0.293  
 156	 1 min	19:16 14.01.08	19:17 14.01.08	0000000037	0.617 	0.402  
 157	 1 min	19:17 14.01.08	19:18 14.01.08	0000000048	0.800 	0.521  
 158	 1 min	19:18 14.01.08	19:19 14.01.08	0000000030	0.500 	0.326  
 159	 1 min	19:19 14.01.08	19:20 14.01.08	0000000031	0.517 	0.337  
 160	 1 min	19:20 14.01.08	19:21 14.01.08	0000000023	0.383 	0.250  
 161	 1 min	19:21 14.01.08	19:22 14.01.08	0000000040	0.667 	0.434  
 162	 1 min	19:22 14.01.08	19:23 14.01.08	0000000027	0.450 	0.293  
 163	 1 min	19:23 14.01.08	19:24 14.01.08	0000000022	0.367 	0.239  
 164	 1 min	19:24 14.01.08	19:25 14.01.08	0000000040	0.667 	0.434  
 165	 1 min	19:25 14.01.08	19:26 14.01.08	0000000037	0.617 	0.402  
 166	 1 min	19:26 14.01.08	19:27 14.01.08	0000000031	0.517 	0.337  
 167	 1 min	19:27 14.01.08	19:28 14.01.08	0000000032	0.533 	0.347  
 168	 1 min	19:28 14.01.08	19:29 14.01.08	0000000031	0.517 	0.337  
 169	 1 min	19:29 14.01.08	19:30 14.01.08	0000000030	0.500 	0.326  
 170	 1 min	19:30 14.01.08	19:31 14.01.08	0000000034	0.567 	0.369  
 171	 1 min	19:31 14.01.08	19:32 14.01.08	0000000027	0.450 	0.293  
 172	 1 min	19:32 14.01.08	19:33 14.01.08	0000000042	0.700 	0.456  
 173	 1 min	19:33 14.01.08	19:34 14.01.08	0000000027	0.450 	0.293  
 174	 1 min	19:34 14.01.08	19:35 14.01.08	0000000044	0.733 	0.478  
 175	 1 min	19:35 14.01.08	19:36 14.01.08	0000000029	0.483 	0.315  
 176	 1 min	19:36 14.01.08	19:37 14.01.08	0000000028	0.467 	0.304  
