85071 Material Measurement Software E07.01.08
Agilent Technologies,N5230C,MY49001460,A.09.20.08
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, April 27, 2016 15:23:45"

frequency,e',e'',u',u''
9307750000.0000,  13.9116,   2.3941,   0.9847,  -0.0082
9310375000.0000,  13.8947,   2.3853,   0.9857,  -0.0120
9313000000.0000,  13.8649,   2.4066,   0.9890,  -0.0084
9315625000.0000,  13.8327,   2.4063,   0.9865,  -0.0073
9318250000.0000,  13.8167,   2.4151,   0.9858,  -0.0094
9320875000.0000,  13.7934,   2.4088,   0.9851,  -0.0091
9323500000.0000,  13.7673,   2.4062,   0.9854,  -0.0089
9326125000.0000,  13.7447,   2.4124,   0.9893,  -0.0097
9328750000.0000,  13.7214,   2.4159,   0.9883,  -0.0092
9331375000.0000,  13.6953,   2.4182,   0.9868,  -0.0113
9334000000.0000,  13.6730,   2.4289,   0.9874,  -0.0040
9336625000.0000,  13.6687,   2.4095,   0.9846,  -0.0091
9339250000.0000,  13.6329,   2.4238,   0.9868,  -0.0046
9341875000.0000,  13.6243,   2.4089,   0.9873,  -0.0098
9344500000.0000,  13.6032,   2.4118,   0.9860,  -0.0096
9347125000.0000,  13.5789,   2.4106,   0.9848,  -0.0098
9349750000.0000,  13.5603,   2.3936,   0.9879,  -0.0112
9352375000.0000,  13.5473,   2.4002,   0.9872,  -0.0093
9355000000.0000,  13.5269,   2.3966,   0.9877,  -0.0096
9357625000.0000,  13.4981,   2.3804,   0.9879,  -0.0122
9360250000.0000,  13.4843,   2.3959,   0.9894,  -0.0074
9362875000.0000,  13.4794,   2.3877,   0.9884,  -0.0087
9365500000.0000,  13.4761,   2.3659,   0.9862,  -0.0122
9368125000.0000,  13.4351,   2.3611,   0.9872,  -0.0092
9370750000.0000,  13.4217,   2.3495,   0.9878,  -0.0108
9373375000.0000,  13.4130,   2.3590,   0.9859,  -0.0075
9376000000.0000,  13.3970,   2.3612,   0.9882,  -0.0081
9378625000.0000,  13.3773,   2.3359,   0.9894,  -0.0097
9381250000.0000,  13.3687,   2.3103,   0.9878,  -0.0153
9383875000.0000,  13.3639,   2.3092,   0.9856,  -0.0101
9386500000.0000,  13.3456,   2.3065,   0.9901,  -0.0103
9389125000.0000,  13.3457,   2.2871,   0.9899,  -0.0138
9391750000.0000,  13.3144,   2.3068,   0.9932,  -0.0060
9394375000.0000,  13.2934,   2.2800,   0.9905,  -0.0097
9397000000.0000,  13.2894,   2.2762,   0.9917,  -0.0104
9399625000.0000,  13.2771,   2.2705,   0.9913,  -0.0084
9402250000.0000,  13.2770,   2.2622,   0.9894,  -0.0089
9404875000.0000,  13.2670,   2.2573,   0.9920,  -0.0084
9407500000.0000,  13.2251,   2.2538,   0.9924,  -0.0008
9410125000.0000,  13.2450,   2.2406,   0.9914,  -0.0104
9412750000.0000,  13.2284,   2.2353,   0.9927,  -0.0057
9415375000.0000,  13.2324,   2.2139,   0.9911,  -0.0090
9418000000.0000,  13.2152,   2.2259,   0.9920,  -0.0068
9420625000.0000,  13.2076,   2.2129,   0.9909,  -0.0069
9423250000.0000,  13.2068,   2.2167,   0.9937,  -0.0058
9425875000.0000,  13.1957,   2.2091,   0.9913,  -0.0091
9428500000.0000,  13.2028,   2.1864,   0.9911,  -0.0122
9431125000.0000,  13.1738,   2.1882,   0.9926,  -0.0094
9433750000.0000,  13.1774,   2.1952,   0.9899,  -0.0046
9436375000.0000,  13.1709,   2.1903,   0.9913,  -0.0064
9439000000.0000,  13.1681,   2.1886,   0.9874,  -0.0038
9441625000.0000,  13.1574,   2.1704,   0.9925,  -0.0097
9444250000.0000,  13.1637,   2.1638,   0.9893,  -0.0086
9446875000.0000,  13.1611,   2.1632,   0.9915,  -0.0118
9449500000.0000,  13.1346,   2.1911,   0.9916,  -0.0024
9452125000.0000,  13.1345,   2.1600,   0.9920,  -0.0108
9454750000.0000,  13.1276,   2.1780,   0.9919,  -0.0058
9457375000.0000,  13.1323,   2.1429,   0.9911,  -0.0122
9460000000.0000,  13.1244,   2.1532,   0.9908,  -0.0102
9462625000.0000,  13.1023,   2.1547,   0.9887,  -0.0076
9465250000.0000,  13.1105,   2.1509,   0.9918,  -0.0066
9467875000.0000,  13.0966,   2.1554,   0.9875,  -0.0067
9470500000.0000,  13.1035,   2.1537,   0.9946,  -0.0075
9473125000.0000,  13.0926,   2.1456,   0.9891,  -0.0080
9475750000.0000,  13.0956,   2.1562,   0.9893,  -0.0075
9478375000.0000,  13.0810,   2.1502,   0.9925,  -0.0086
9481000000.0000,  13.0831,   2.1393,   0.9910,  -0.0118
9483625000.0000,  13.0638,   2.1515,   0.9886,  -0.0057
9486250000.0000,  13.0687,   2.1394,   0.9917,  -0.0097
9488875000.0000,  13.0479,   2.1369,   0.9894,  -0.0110
9491500000.0000,  13.0560,   2.1503,   0.9915,  -0.0086
9494125000.0000,  13.0402,   2.1429,   0.9924,  -0.0097
9496750000.0000,  13.0336,   2.1437,   0.9904,  -0.0099
9499375000.0000,  13.0324,   2.1413,   0.9915,  -0.0115
9502000000.0000,  13.0205,   2.1446,   0.9909,  -0.0125
9504625000.0000,  13.0185,   2.1531,   0.9939,  -0.0067
9507250000.0000,  12.9964,   2.1398,   0.9911,  -0.0107
9509875000.0000,  12.9906,   2.1429,   0.9922,  -0.0110
9512500000.0000,  12.9862,   2.1351,   0.9891,  -0.0117
9515125000.0000,  12.9793,   2.1469,   0.9930,  -0.0089
9517750000.0000,  12.9650,   2.1523,   0.9965,  -0.0114
9520375000.0000,  12.9569,   2.1379,   0.9922,  -0.0143
9523000000.0000,  12.9477,   2.1597,   0.9945,  -0.0087
9525625000.0000,  12.9297,   2.1431,   0.9938,  -0.0091
9528250000.0000,  12.9297,   2.1410,   0.9915,  -0.0107
9530875000.0000,  12.9151,   2.1422,   0.9939,  -0.0129
9533500000.0000,  12.9038,   2.1512,   0.9923,  -0.0104
9536125000.0000,  12.9047,   2.1520,   0.9941,  -0.0068
9538750000.0000,  12.8863,   2.1493,   0.9935,  -0.0098
9541375000.0000,  12.8682,   2.1367,   0.9944,  -0.0127
9544000000.0000,  12.8632,   2.1451,   0.9932,  -0.0119
9546625000.0000,  12.8499,   2.1293,   0.9930,  -0.0164
9549250000.0000,  12.8375,   2.1434,   0.9939,  -0.0111
9551875000.0000,  12.8205,   2.1535,   0.9966,  -0.0091
9554500000.0000,  12.8044,   2.1483,   0.9953,  -0.0070
9557125000.0000,  12.7667,   2.1600,   0.9989,  -0.0040
9559750000.0000,  12.7718,   2.1415,   0.9962,  -0.0073
9562375000.0000,  12.7663,   2.1304,   0.9945,  -0.0099
9565000000.0000,  12.7455,   2.1309,   0.9948,  -0.0114
9567625000.0000,  12.7257,   2.1427,   0.9941,  -0.0067
9570250000.0000,  12.7058,   2.1255,   0.9960,  -0.0092
9572875000.0000,  12.6936,   2.1256,   0.9973,  -0.0074
9575500000.0000,  12.6759,   2.1292,   0.9958,  -0.0071
9578125000.0000,  12.6702,   2.1331,   0.9948,  -0.0029
9580750000.0000,  12.6542,   2.1155,   0.9970,  -0.0057
9583375000.0000,  12.6339,   2.1018,   0.9980,  -0.0096
9586000000.0000,  12.6242,   2.1052,   0.9959,  -0.0058
9588625000.0000,  12.5987,   2.0873,   0.9960,  -0.0057
9591250000.0000,  12.5833,   2.0909,   0.9983,  -0.0069
9593875000.0000,  12.5700,   2.0878,   0.9966,  -0.0028
9596500000.0000,  12.5420,   2.0858,   0.9983,  -0.0049
9599125000.0000,  12.5516,   2.0672,   0.9983,  -0.0082
9601750000.0000,  12.5323,   2.0539,   0.9963,  -0.0064
9604375000.0000,  12.5093,   2.0473,   0.9967,  -0.0082
9607000000.0000,  12.4891,   2.0564,   0.9967,  -0.0033
9609625000.0000,  12.4768,   2.0348,   0.9941,  -0.0011
9612250000.0000,  12.4659,   2.0312,   0.9957,  -0.0053
9614875000.0000,  12.4541,   2.0203,   0.9967,  -0.0034
9617500000.0000,  12.4399,   2.0041,   0.9977,  -0.0067
9620125000.0000,  12.4275,   2.0128,   0.9964,  -0.0006
9622750000.0000,  12.4224,   1.9763,   0.9955,  -0.0097
9625375000.0000,  12.4055,   1.9807,   0.9962,  -0.0011
9628000000.0000,  12.3987,   1.9655,   0.9971,  -0.0070
9630625000.0000,  12.3672,   1.9466,   0.9969,  -0.0065
9633250000.0000,  12.3615,   1.9446,   0.9994,  -0.0037
9635875000.0000,  12.3599,   1.9237,   0.9982,  -0.0067
9638500000.0000,  12.3489,   1.9179,   1.0000,  -0.0062
9641125000.0000,  12.3311,   1.9139,   1.0008,  -0.0019
9643750000.0000,  12.3219,   1.8777,   0.9958,  -0.0101
9646375000.0000,  12.3023,   1.8724,   0.9981,  -0.0036
9649000000.0000,  12.2994,   1.8515,   1.0017,  -0.0100
9651625000.0000,  12.2892,   1.8364,   1.0007,  -0.0039
9654250000.0000,  12.2841,   1.8113,   1.0032,  -0.0077
9656875000.0000,  12.2570,   1.8251,   1.0002,  -0.0010
9659500000.0000,  12.2737,   1.7980,   1.0013,  -0.0076
9662125000.0000,  12.2440,   1.7746,   1.0010,  -0.0066
9664750000.0000,  12.2504,   1.7636,   1.0043,  -0.0065
9667375000.0000,  12.2345,   1.7561,   0.9981,  -0.0021
9670000000.0000,  12.2472,   1.7368,   1.0014,  -0.0061
9672625000.0000,  12.2245,   1.7137,   1.0002,  -0.0054
9675250000.0000,  12.2297,   1.7018,   1.0019,  -0.0047
9677875000.0000,  12.2162,   1.6894,   1.0024,  -0.0029
9680500000.0000,  12.2123,   1.6782,   1.0023,  -0.0015
9683125000.0000,  12.2157,   1.6664,   1.0026,  -0.0038
9685750000.0000,  12.2131,   1.6563,   1.0058,  -0.0012
9688375000.0000,  12.2130,   1.6305,   1.0054,  -0.0033
9691000000.0000,  12.2181,   1.6180,   1.0013,  -0.0048
9693625000.0000,  12.2003,   1.6108,   1.0011,  -0.0019
9696250000.0000,  12.2117,   1.5753,   1.0030,  -0.0043
9698875000.0000,  12.1870,   1.5726,   1.0057,  -0.0006
9701500000.0000,  12.2033,   1.5462,   1.0040,  -0.0053
9704125000.0000,  12.2002,   1.5452,   1.0041,  -0.0046
9706750000.0000,  12.1999,   1.5312,   1.0041,  -0.0040
9709375000.0000,  12.1974,   1.5049,   1.0057,  -0.0028
9712000000.0000,  12.1836,   1.4964,   1.0043,  -0.0017
9714625000.0000,  12.1955,   1.4809,   1.0042,  -0.0015
9717250000.0000,  12.1963,   1.4656,   1.0024,  -0.0036
9719875000.0000,  12.1974,   1.4561,   1.0007,  -0.0002
9722500000.0000,  12.1971,   1.4294,   1.0041,  -0.0048
9725125000.0000,  12.1946,   1.4193,   1.0032,  -0.0050
9727750000.0000,  12.1949,   1.4212,   1.0028,  -0.0009
9730375000.0000,  12.1992,   1.3891,   1.0023,  -0.0041
9733000000.0000,  12.2002,   1.3857,   1.0008,  -0.0026
9735625000.0000,  12.2049,   1.3608,   0.9999,  -0.0039
9738250000.0000,  12.1889,   1.3621,   1.0024,  -0.0022
9740875000.0000,  12.1911,   1.3458,   1.0038,  -0.0015
9743500000.0000,  12.1901,   1.3373,   1.0042,  -0.0004
9746125000.0000,  12.1965,   1.3225,   0.9975,  -0.0016
9748750000.0000,  12.2022,   1.3034,   1.0000,  -0.0025
9751375000.0000,  12.2030,   1.2835,   0.9999,  -0.0060
9754000000.0000,  12.2089,   1.2756,   1.0003,  -0.0042
9756625000.0000,  12.2013,   1.2642,   1.0016,  -0.0020
9759250000.0000,  12.1951,   1.2641,   1.0001,   0.0002
9761875000.0000,  12.2034,   1.2647,   1.0024,   0.0018
9764500000.0000,  12.2086,   1.2512,   1.0039,   0.0020
9767125000.0000,  12.2153,   1.2334,   1.0029,   0.0019
9769750000.0000,  12.2194,   1.2225,   1.0001,   0.0001
9772375000.0000,  12.2178,   1.2073,   1.0016,  -0.0012
9775000000.0000,  12.2249,   1.2040,   1.0017,  -0.0013
9777625000.0000,  12.2233,   1.1935,   0.9987,   0.0003
9780250000.0000,  12.2242,   1.1736,   1.0014,  -0.0039
9782875000.0000,  12.2416,   1.1682,   1.0011,   0.0000
9785500000.0000,  12.2424,   1.1652,   1.0036,   0.0031
9788125000.0000,  12.2354,   1.1526,   1.0022,   0.0037
9790750000.0000,  12.2538,   1.1359,   1.0020,  -0.0007
9793375000.0000,  12.2418,   1.1317,   0.9998,   0.0016
9796000000.0000,  12.2551,   1.1137,   0.9995,  -0.0039
9798625000.0000,  12.2646,   1.1084,   1.0008,  -0.0025
9801250000.0000,  12.2725,   1.0949,   1.0050,  -0.0006
9803875000.0000,  12.2678,   1.0841,   1.0043,  -0.0023
9806500000.0000,  12.2702,   1.0831,   1.0003,   0.0010
9809125000.0000,  12.2709,   1.0851,   1.0029,   0.0007
9811750000.0000,  12.2800,   1.0788,   1.0023,   0.0015
9814375000.0000,  12.2785,   1.0618,   1.0032,   0.0008
9817000000.0000,  12.2889,   1.0470,   1.0028,  -0.0010
9819625000.0000,  12.2940,   1.0439,   1.0051,   0.0001
9822250000.0000,  12.2956,   1.0365,   1.0029,   0.0022
9824875000.0000,  12.2948,   1.0181,   1.0016,   0.0003
9827500000.0000,  12.2952,   1.0123,   1.0040,   0.0003
9830125000.0000,  12.3072,   1.0103,   1.0047,   0.0012
9832750000.0000,  12.3163,   1.0119,   1.0026,   0.0013
9835375000.0000,  12.3145,   1.0038,   1.0034,   0.0028
9838000000.0000,  12.3221,   1.0016,   1.0028,   0.0029
9840625000.0000,  12.3229,   0.9904,   1.0042,   0.0021
9843250000.0000,  12.3302,   0.9795,   1.0045,   0.0027
9845875000.0000,  12.3363,   0.9645,   1.0040,   0.0014
9848500000.0000,  12.3493,   0.9710,   1.0031,   0.0016
9851125000.0000,  12.3463,   0.9635,   1.0019,   0.0007
9853750000.0000,  12.3493,   0.9522,   1.0035,   0.0031
9856375000.0000,  12.3507,   0.9447,   1.0026,  -0.0001
9859000000.0000,  12.3537,   0.9427,   0.9999,   0.0043
9861625000.0000,  12.3688,   0.9423,   1.0001,   0.0028
9864250000.0000,  12.3625,   0.9258,   1.0024,   0.0019
9866875000.0000,  12.3729,   0.9188,   1.0021,   0.0019
9869500000.0000,  12.3753,   0.9222,   1.0023,   0.0016
9872125000.0000,  12.3824,   0.9222,   1.0017,   0.0030
9874750000.0000,  12.3851,   0.9081,   0.9989,  -0.0005
9877375000.0000,  12.3868,   0.8998,   1.0016,   0.0021
9880000000.0000,  12.3909,   0.8972,   1.0012,   0.0029
9882625000.0000,  12.4044,   0.8983,   0.9996,   0.0002
9885250000.0000,  12.4057,   0.8859,   1.0006,   0.0012
9887875000.0000,  12.4148,   0.8790,   1.0024,   0.0000
9890500000.0000,  12.4101,   0.8701,   0.9997,  -0.0000
9893125000.0000,  12.4143,   0.8709,   1.0014,   0.0017
9895750000.0000,  12.4104,   0.8704,   1.0012,   0.0001
9898375000.0000,  12.4191,   0.8646,   1.0016,   0.0016
9901000000.0000,  12.4305,   0.8555,   0.9997,   0.0023
9903625000.0000,  12.4214,   0.8477,   0.9993,   0.0020
9906250000.0000,  12.4317,   0.8483,   1.0010,   0.0021
9908875000.0000,  12.4338,   0.8422,   1.0011,   0.0013
9911500000.0000,  12.4408,   0.8407,   1.0022,   0.0008
9914125000.0000,  12.4560,   0.8308,   0.9995,  -0.0011
9916750000.0000,  12.4365,   0.8291,   0.9988,   0.0010
9919375000.0000,  12.4482,   0.8252,   0.9998,  -0.0006
9922000000.0000,  12.4449,   0.8261,   1.0014,   0.0035
9924625000.0000,  12.4498,   0.8159,   0.9997,   0.0015
9927250000.0000,  12.4541,   0.8170,   0.9995,   0.0029
9929875000.0000,  12.4488,   0.8102,   0.9997,   0.0031
9932500000.0000,  12.4578,   0.8084,   1.0019,   0.0024
9935125000.0000,  12.4646,   0.8066,   1.0016,   0.0024
9937750000.0000,  12.4810,   0.8019,   1.0012,   0.0006
9940375000.0000,  12.4637,   0.7847,   1.0011,   0.0017
9943000000.0000,  12.4730,   0.7917,   1.0001,   0.0001
9945625000.0000,  12.4794,   0.7827,   0.9999,   0.0024
9948250000.0000,  12.4848,   0.7911,   1.0024,   0.0040
9950875000.0000,  12.4837,   0.7861,   1.0004,   0.0039
9953500000.0000,  12.4800,   0.7710,   0.9992,   0.0014
9956125000.0000,  12.4949,   0.7786,   1.0009,   0.0040
9958750000.0000,  12.4924,   0.7707,   1.0015,   0.0035
9961375000.0000,  12.5021,   0.7610,   1.0007,   0.0020
9964000000.0000,  12.5049,   0.7604,   1.0016,   0.0008
9966625000.0000,  12.5081,   0.7590,   1.0024,   0.0028
9969250000.0000,  12.5156,   0.7426,   1.0003,   0.0020
9971875000.0000,  12.5194,   0.7671,   1.0013,   0.0034
9974500000.0000,  12.5156,   0.7530,   1.0017,   0.0044
9977125000.0000,  12.5334,   0.7469,   1.0008,   0.0001
9979750000.0000,  12.5346,   0.7409,   0.9999,   0.0025
9982375000.0000,  12.5339,   0.7438,   1.0006,   0.0031
9985000000.0000,  12.5317,   0.7348,   1.0004,   0.0035
9987625000.0000,  12.5453,   0.7414,   1.0005,   0.0029
9990250000.0000,  12.5530,   0.7417,   1.0024,   0.0022
9992875000.0000,  12.5487,   0.7367,   1.0019,   0.0031
9995500000.0000,  12.5528,   0.7279,   1.0015,   0.0049
9998125000.0000,  12.5560,   0.7285,   0.9993,   0.0019
10000750000.0000,  12.5635,   0.7281,   1.0018,   0.0064
10003375000.0000,  12.5743,   0.7193,   1.0010,   0.0022
10006000000.0000,  12.5753,   0.7205,   1.0010,   0.0041
10008625000.0000,  12.5724,   0.7204,   1.0002,   0.0020
10011250000.0000,  12.5753,   0.7238,   0.9985,   0.0025
10013875000.0000,  12.5804,   0.7235,   1.0008,   0.0043
10016500000.0000,  12.5915,   0.7243,   1.0005,   0.0040
10019125000.0000,  12.5895,   0.7296,   1.0007,   0.0056
10021750000.0000,  12.5960,   0.7143,   1.0005,   0.0030
10024375000.0000,  12.5991,   0.7170,   1.0005,   0.0030
10027000000.0000,  12.5891,   0.7100,   1.0012,   0.0022
10029625000.0000,  12.5930,   0.7086,   0.9993,   0.0020
10032250000.0000,  12.6072,   0.6993,   1.0005,   0.0031
10034875000.0000,  12.6073,   0.7056,   1.0023,   0.0013
10037500000.0000,  12.6242,   0.7049,   1.0002,  -0.0004
10040125000.0000,  12.6176,   0.7052,   1.0001,   0.0003
10042750000.0000,  12.6164,   0.7082,   0.9992,   0.0030
10045375000.0000,  12.6078,   0.7000,   1.0005,   0.0004
10048000000.0000,  12.6252,   0.7027,   1.0036,   0.0013
10050625000.0000,  12.6132,   0.7059,   1.0007,   0.0043
10053250000.0000,  12.6291,   0.7030,   1.0000,   0.0034
10055875000.0000,  12.6435,   0.6854,   1.0019,  -0.0001
10058500000.0000,  12.6452,   0.6830,   1.0006,   0.0005
10061125000.0000,  12.6403,   0.6812,   1.0004,  -0.0020
10063750000.0000,  12.6448,   0.6865,   1.0017,   0.0022
10066375000.0000,  12.6400,   0.6879,   1.0019,   0.0024
10069000000.0000,  12.6412,   0.6787,   1.0023,   0.0016
10071625000.0000,  12.6423,   0.6767,   1.0019,   0.0020
10074250000.0000,  12.6533,   0.6774,   0.9998,   0.0003
10076875000.0000,  12.6564,   0.6676,   0.9999,   0.0031
10079500000.0000,  12.6644,   0.6764,   1.0012,   0.0024
10082125000.0000,  12.6581,   0.6522,   1.0002,   0.0006
10084750000.0000,  12.6552,   0.6655,   1.0017,   0.0056
10087375000.0000,  12.6542,   0.6511,   0.9994,   0.0013
10090000000.0000,  12.6677,   0.6628,   1.0017,   0.0044
10092625000.0000,  12.6763,   0.6588,   1.0011,   0.0006
10095250000.0000,  12.6740,   0.6555,   1.0009,   0.0052
10097875000.0000,  12.6625,   0.6588,   0.9999,   0.0068
10100500000.0000,  12.6749,   0.6632,   1.0018,   0.0057
10103125000.0000,  12.6697,   0.6477,   1.0020,   0.0032
10105750000.0000,  12.6667,   0.6542,   1.0005,   0.0066
10108375000.0000,  12.6727,   0.6541,   0.9996,   0.0050
10111000000.0000,  12.6752,   0.6446,   1.0012,   0.0052
10113625000.0000,  12.6790,   0.6550,   1.0006,   0.0048
10116250000.0000,  12.6856,   0.6544,   0.9986,   0.0055
10118875000.0000,  12.6852,   0.6495,   1.0005,   0.0075
10121500000.0000,  12.6867,   0.6529,   1.0000,   0.0060
10124125000.0000,  12.6961,   0.6551,   1.0004,   0.0068
10126750000.0000,  12.6985,   0.6572,   0.9994,   0.0077
10129375000.0000,  12.7028,   0.6390,   0.9978,   0.0055
10132000000.0000,  12.6964,   0.6515,   0.9979,   0.0061
10134625000.0000,  12.7036,   0.6412,   0.9994,   0.0028
10137250000.0000,  12.7036,   0.6462,   0.9989,   0.0074
10139875000.0000,  12.7063,   0.6498,   1.0004,   0.0079
10142500000.0000,  12.7098,   0.6422,   0.9997,   0.0059
10145125000.0000,  12.7215,   0.6412,   1.0006,   0.0048
10147750000.0000,  12.7021,   0.6457,   1.0025,   0.0079
10150375000.0000,  12.7259,   0.6407,   1.0022,   0.0034
10153000000.0000,  12.7105,   0.6320,   0.9990,   0.0031
10155625000.0000,  12.7168,   0.6419,   1.0017,   0.0061
10158250000.0000,  12.7135,   0.6411,   1.0022,   0.0052
10160875000.0000,  12.7148,   0.6381,   1.0009,   0.0050
10163500000.0000,  12.7157,   0.6303,   0.9997,   0.0045
10166125000.0000,  12.7287,   0.6406,   0.9985,   0.0037
10168750000.0000,  12.7347,   0.6397,   1.0032,   0.0034
10171375000.0000,  12.7329,   0.6384,   1.0007,   0.0046
10174000000.0000,  12.7325,   0.6361,   0.9988,   0.0056
10176625000.0000,  12.7400,   0.6297,   1.0012,   0.0043
10179250000.0000,  12.7362,   0.6349,   1.0018,   0.0040
10181875000.0000,  12.7326,   0.6436,   0.9989,   0.0057
10184500000.0000,  12.7548,   0.6312,   1.0020,   0.0043
10187125000.0000,  12.7382,   0.6302,   1.0001,   0.0051
10189750000.0000,  12.7416,   0.6424,   1.0009,   0.0073
10192375000.0000,  12.7465,   0.6246,   1.0035,   0.0046
10195000000.0000,  12.7518,   0.6298,   0.9999,   0.0064
10197625000.0000,  12.7470,   0.6242,   1.0017,   0.0055
10200250000.0000,  12.7596,   0.6232,   0.9996,   0.0052
10202875000.0000,  12.7614,   0.6245,   0.9993,   0.0045
10205500000.0000,  12.7587,   0.6226,   1.0007,   0.0043
10208125000.0000,  12.7639,   0.6214,   1.0023,   0.0055
10210750000.0000,  12.7636,   0.6212,   1.0018,   0.0030
10213375000.0000,  12.7661,   0.6263,   1.0014,   0.0042
10216000000.0000,  12.7730,   0.6261,   1.0005,   0.0064
10218625000.0000,  12.7681,   0.6173,   0.9987,   0.0046
10221250000.0000,  12.7677,   0.6145,   0.9983,   0.0056
10223875000.0000,  12.7777,   0.6093,   0.9989,   0.0040
10226500000.0000,  12.7714,   0.6125,   0.9982,   0.0042
10229125000.0000,  12.7762,   0.6096,   0.9996,   0.0060
10231750000.0000,  12.7800,   0.6101,   0.9970,   0.0034
10234375000.0000,  12.7845,   0.6070,   0.9977,   0.0047
10237000000.0000,  12.7945,   0.6041,   0.9976,   0.0037
10239625000.0000,  12.7943,   0.6049,   0.9993,   0.0027
10242250000.0000,  12.7936,   0.6122,   0.9971,   0.0052
10244875000.0000,  12.7971,   0.5971,   0.9974,   0.0053
10247500000.0000,  12.7985,   0.5884,   0.9969,   0.0032
10250125000.0000,  12.8065,   0.6110,   0.9985,   0.0045
10252750000.0000,  12.7997,   0.5966,   0.9988,   0.0041
10255375000.0000,  12.8049,   0.6046,   0.9965,   0.0054
10258000000.0000,  12.7964,   0.5941,   0.9975,   0.0050
10260625000.0000,  12.8074,   0.6035,   0.9985,   0.0067
10263250000.0000,  12.8143,   0.6098,   0.9967,   0.0061
10265875000.0000,  12.8079,   0.5922,   0.9971,   0.0024
10268500000.0000,  12.8254,   0.5901,   0.9965,   0.0019
10271125000.0000,  12.8078,   0.5912,   0.9968,   0.0054
10273750000.0000,  12.7942,   0.5985,   0.9979,   0.0049
10276375000.0000,  12.8024,   0.5862,   0.9954,   0.0037
10279000000.0000,  12.8146,   0.5916,   0.9984,   0.0061
10281625000.0000,  12.8202,   0.5867,   0.9983,   0.0043
10284250000.0000,  12.8090,   0.5942,   0.9958,   0.0069
10286875000.0000,  12.8146,   0.5943,   0.9961,   0.0053
10289500000.0000,  12.8107,   0.5939,   0.9958,   0.0064
10292125000.0000,  12.8129,   0.5825,   0.9963,   0.0031
10294750000.0000,  12.8114,   0.5971,   0.9967,   0.0080
10297375000.0000,  12.8071,   0.5991,   0.9976,   0.0063
10300000000.0000,  12.8235,   0.5927,   0.9962,   0.0063
10302625000.0000,  12.8149,   0.5982,   0.9974,   0.0059
10305250000.0000,  12.8129,   0.5850,   0.9953,   0.0045
10307875000.0000,  12.8171,   0.5885,   0.9974,   0.0040
10310500000.0000,  12.8219,   0.5963,   1.0003,   0.0050
10313125000.0000,  12.8219,   0.6013,   0.9976,   0.0065
10315750000.0000,  12.8250,   0.5972,   0.9975,   0.0064
10318375000.0000,  12.8258,   0.5948,   0.9968,   0.0057
10321000000.0000,  12.8236,   0.5775,   0.9973,   0.0032
10323625000.0000,  12.8167,   0.5937,   0.9981,   0.0059
10326250000.0000,  12.8297,   0.5910,   0.9991,   0.0064
10328875000.0000,  12.8334,   0.5839,   0.9982,   0.0033
10331500000.0000,  12.8318,   0.5829,   1.0002,   0.0041
10334125000.0000,  12.8315,   0.5717,   0.9976,   0.0040
10336750000.0000,  12.8360,   0.5870,   1.0001,   0.0063
10339375000.0000,  12.8458,   0.5810,   1.0000,   0.0058
10342000000.0000,  12.8408,   0.5832,   1.0010,   0.0033
10344625000.0000,  12.8440,   0.5619,   0.9987,   0.0012
10347250000.0000,  12.8493,   0.5747,   1.0006,   0.0038
10349875000.0000,  12.8533,   0.5695,   0.9997,   0.0043
10352500000.0000,  12.8516,   0.5627,   1.0004,   0.0028
10355125000.0000,  12.8576,   0.5650,   1.0004,   0.0027
10357750000.0000,  12.8620,   0.5753,   1.0003,   0.0050
10360375000.0000,  12.8459,   0.5753,   0.9992,   0.0043
10363000000.0000,  12.8553,   0.5610,   0.9994,   0.0040
10365625000.0000,  12.8657,   0.5636,   0.9989,   0.0040
10368250000.0000,  12.8708,   0.5588,   0.9993,   0.0056
10370875000.0000,  12.8761,   0.5638,   0.9996,   0.0070
10373500000.0000,  12.8806,   0.5769,   1.0000,   0.0058
10376125000.0000,  12.8714,   0.5779,   0.9997,   0.0078
10378750000.0000,  12.8776,   0.5714,   1.0019,   0.0071
10381375000.0000,  12.8795,   0.5730,   0.9988,   0.0067
10384000000.0000,  12.8760,   0.5727,   0.9991,   0.0088
10386625000.0000,  12.8778,   0.5656,   0.9984,   0.0069
10389250000.0000,  12.8943,   0.5585,   0.9958,   0.0043
10391875000.0000,  12.8926,   0.5576,   0.9964,   0.0052
10394500000.0000,  12.8885,   0.5608,   0.9954,   0.0057
10397125000.0000,  12.8906,   0.5598,   0.9965,   0.0042
10399750000.0000,  12.8940,   0.5523,   0.9966,   0.0050
10402375000.0000,  12.8874,   0.5611,   0.9957,   0.0061
10405000000.0000,  12.8972,   0.5619,   0.9974,   0.0039
10407625000.0000,  12.8925,   0.5585,   0.9930,   0.0038
10410250000.0000,  12.9043,   0.5534,   0.9933,   0.0031
10412875000.0000,  12.8955,   0.5613,   0.9942,   0.0047
10415500000.0000,  12.8905,   0.5686,   0.9954,   0.0060
10418125000.0000,  12.9001,   0.5666,   0.9935,   0.0045
10420750000.0000,  12.8984,   0.5559,   0.9929,   0.0049
10423375000.0000,  12.8993,   0.5555,   0.9949,   0.0044
10426000000.0000,  12.8942,   0.5605,   0.9955,   0.0053
10428625000.0000,  12.8954,   0.5484,   0.9961,   0.0035
