

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2009_12_09_23-55-55.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 158	10 min	14:57 05.12.09	15:07 05.12.09	0000000309	0.515 	0.336  
 159	10 min	15:07 05.12.09	15:17 05.12.09	0000000312	0.520 	0.339  
 160	10 min	15:17 05.12.09	15:27 05.12.09	0000000336	0.560 	0.365  
 161	10 min	15:27 05.12.09	15:37 05.12.09	0000000298	0.497 	0.324  
 162	10 min	15:37 05.12.09	15:47 05.12.09	0000000306	0.510 	0.332  
 163	10 min	15:47 05.12.09	15:57 05.12.09	0000000321	0.535 	0.349  
 164	10 min	15:57 05.12.09	16:07 05.12.09	0000000311	0.518 	0.338  
 165	10 min	16:07 05.12.09	16:17 05.12.09	0000000319	0.532 	0.346  
 166	10 min	16:17 05.12.09	16:27 05.12.09	0000000293	0.488 	0.318  
 167	10 min	16:27 05.12.09	16:37 05.12.09	0000000284	0.473 	0.308  
 168	10 min	16:37 05.12.09	16:47 05.12.09	0000000306	0.510 	0.332  
 169	10 min	16:47 05.12.09	16:57 05.12.09	0000000292	0.487 	0.317  
 170	10 min	16:57 05.12.09	17:07 05.12.09	0000000325	0.542 	0.353  
 171	10 min	17:07 05.12.09	17:17 05.12.09	0000000314	0.523 	0.341  
 172	10 min	17:17 05.12.09	17:27 05.12.09	0000000308	0.513 	0.334  
 173	10 min	17:27 05.12.09	17:37 05.12.09	0000000320	0.533 	0.347  
 174	10 min	17:37 05.12.09	17:47 05.12.09	0000000294	0.490 	0.319  
 175	10 min	17:47 05.12.09	17:57 05.12.09	0000000343	0.572 	0.372  
 176	10 min	17:57 05.12.09	18:07 05.12.09	0000000309	0.515 	0.336  
 177	10 min	18:07 05.12.09	18:17 05.12.09	0000000304	0.507 	0.330  
 178	10 min	18:17 05.12.09	18:27 05.12.09	0000000309	0.515 	0.336  
 179	10 min	18:27 05.12.09	18:37 05.12.09	0000000331	0.552 	0.359  
 180	10 min	18:37 05.12.09	18:47 05.12.09	0000000277	0.462 	0.301  
 181	10 min	18:47 05.12.09	18:57 05.12.09	0000000332	0.553 	0.360  
 182	10 min	18:57 05.12.09	19:07 05.12.09	0000000313	0.522 	0.340  
 183	10 min	19:07 05.12.09	19:17 05.12.09	0000000304	0.507 	0.330  
 184	10 min	19:17 05.12.09	19:27 05.12.09	0000000297	0.495 	0.322  
 185	10 min	19:27 05.12.09	19:37 05.12.09	0000000301	0.502 	0.327  
 186	10 min	19:37 05.12.09	19:47 05.12.09	0000000306	0.510 	0.332  
 187	10 min	19:47 05.12.09	19:57 05.12.09	0000000284	0.473 	0.308  
 188	10 min	19:57 05.12.09	20:07 05.12.09	0000000304	0.507 	0.330  
 189	10 min	20:07 05.12.09	20:17 05.12.09	0000000310	0.517 	0.337  
 190	10 min	20:17 05.12.09	20:27 05.12.09	0000000303	0.505 	0.329  
 191	10 min	20:27 05.12.09	20:37 05.12.09	0000000302	0.503 	0.328  
 192	10 min	20:37 05.12.09	20:47 05.12.09	0000000325	0.542 	0.353  
 193	10 min	20:47 05.12.09	20:57 05.12.09	0000000293	0.488 	0.318  
 194	10 min	20:57 05.12.09	21:07 05.12.09	0000000351	0.585 	0.381  
 195	10 min	21:07 05.12.09	21:17 05.12.09	0000000303	0.505 	0.329  
 196	10 min	21:17 05.12.09	21:27 05.12.09	0000000314	0.523 	0.341  
 197	10 min	21:27 05.12.09	21:37 05.12.09	0000000322	0.537 	0.350  
 198	10 min	21:37 05.12.09	21:47 05.12.09	0000000298	0.497 	0.324  
 199	10 min	21:47 05.12.09	21:57 05.12.09	0000000298	0.497 	0.324  
 200	10 min	21:57 05.12.09	22:07 05.12.09	0000000321	0.535 	0.349  
