!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Wednesday, April 12, 2017 13:51:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
8663875000,0.45463857,147.43596,0.88863045,-122.84053,0.88969439,-123.15518,0.45350775,147.34808
8666437500,0.4532901,147.33221,0.88962221,-122.98351,0.88853204,-123.25415,0.45337301,147.44632
8669000000,0.45237988,147.24413,0.88720131,-123.11662,0.88646519,-123.20257,0.45153162,147.30008
8671562500,0.45174682,147.13647,0.8890301,-123.18391,0.89039201,-123.32203,0.45306024,147.3111
8674125000,0.45218071,147.07559,0.89049357,-123.27135,0.89268261,-123.36388,0.45327446,147.24107
8676687500,0.45205325,147.13121,0.89083618,-123.16313,0.88958389,-123.36402,0.4520039,147.2486
8679250000,0.45076302,147.04926,0.88955086,-123.19543,0.89016527,-123.39186,0.45087916,147.3145
8681812500,0.45143786,146.99652,0.89462346,-123.27991,0.89171809,-123.28512,0.45253503,147.40327
8684375000,0.45185784,146.83667,0.8916536,-123.20734,0.8935281,-123.43456,0.44960782,147.32445
8686937500,0.45049775,146.77261,0.89366382,-123.45096,0.89253324,-123.58833,0.45087361,147.19995
8689500000,0.44888031,146.83658,0.89097583,-123.34371,0.89122254,-123.65473,0.44930246,147.16158
8692062500,0.44835907,146.68173,0.89244264,-123.55637,0.88989079,-123.67081,0.44958389,147.13179
8694625000,0.44918802,146.69902,0.89227217,-123.47146,0.8908242,-123.64079,0.44859418,147.04228
8697187500,0.44767502,146.51476,0.89143687,-123.61763,0.89224625,-123.82256,0.44896305,147.03497
8699750000,0.44737926,146.46721,0.89382052,-123.71904,0.89260972,-123.78344,0.44890368,146.98953
8702312500,0.44651461,146.61694,0.89290637,-123.79182,0.8920927,-123.8259,0.44768438,146.87686
8704875000,0.44635776,146.42406,0.89367521,-123.73388,0.89335865,-123.94524,0.44719517,146.85664
8707437500,0.44577572,146.3327,0.89281976,-123.911,0.89273453,-123.99373,0.4461247,146.83577
