!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Monday, April 10, 2017 10:36:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8520375000,-0.55930018,-0.024447236,-0.21742661,-0.8013711,-0.21977396,-0.80200058,-0.47110286,0.30252153
8522937500,-0.55842656,-0.024226816,-0.21656792,-0.80136931,-0.22166447,-0.80208629,-0.47077057,0.30319181
8525500000,-0.55961841,-0.024189329,-0.2166725,-0.80141097,-0.22221419,-0.80308789,-0.46958679,0.30274326
8528062500,-0.5599879,-0.026802324,-0.21980865,-0.80469048,-0.21588278,-0.80027467,-0.47119063,0.30282146
8530625000,-0.55729765,-0.025782818,-0.21892214,-0.80217499,-0.21885234,-0.79916489,-0.46989653,0.30397823
8533187500,-0.55778909,-0.021995362,-0.21924537,-0.80398321,-0.22538863,-0.79715937,-0.46928063,0.30243593
8535750000,-0.55894619,-0.022926258,-0.22116365,-0.80179816,-0.22401172,-0.80141097,-0.46764281,0.30447111
8538312500,-0.55699539,-0.022931715,-0.21906261,-0.80112785,-0.22261746,-0.80039549,-0.46879366,0.30347702
8540875000,-0.55671966,-0.023587011,-0.22053698,-0.80199915,-0.22215137,-0.79864383,-0.46809891,0.30376908
8543437500,-0.55559295,-0.023567189,-0.22078709,-0.79856539,-0.22340465,-0.79831064,-0.46565932,0.30462852
8546000000,-0.55967313,-0.022825276,-0.22293423,-0.80135268,-0.2246445,-0.80221063,-0.46572348,0.30478743
8548562500,-0.55619949,-0.020091398,-0.22244275,-0.79993844,-0.22681549,-0.80146724,-0.46692878,0.30552855
8551125000,-0.55716628,-0.021359216,-0.22379754,-0.80171698,-0.22616312,-0.80235291,-0.4671739,0.30566874
8553687500,-0.55718452,-0.02047934,-0.2231735,-0.79851389,-0.22825083,-0.80105889,-0.46401471,0.30540395
8556250000,-0.55630434,-0.020817088,-0.22587654,-0.8016178,-0.22771794,-0.79970109,-0.46421197,0.306059
8558812500,-0.55586731,-0.019776657,-0.22533502,-0.79877311,-0.22847606,-0.79958963,-0.46302685,0.30579692
8561375000,-0.55433047,-0.019599184,-0.22546235,-0.80088329,-0.22876687,-0.79849184,-0.46380255,0.3060675
8563937500,-0.55457127,-0.018641893,-0.22762339,-0.80120456,-0.23012088,-0.79973871,-0.4641411,0.30733752
8566500000,-0.55545622,-0.017693778,-0.22803037,-0.8018108,-0.23103179,-0.7982412,-0.46283963,0.30722344
8569062500,-0.55593753,-0.017110426,-0.22693434,-0.80336577,-0.2325405,-0.80032516,-0.46325451,0.30827519
8571625000,-0.55501395,-0.018537223,-0.22846594,-0.79855925,-0.23129432,-0.80052924,-0.46213406,0.3074193
8574187500,-0.55524236,-0.018035883,-0.22914252,-0.80020976,-0.23186371,-0.80060136,-0.46178743,0.3077603
8576750000,-0.55331278,-0.016958652,-0.22930066,-0.80036807,-0.2338533,-0.7992022,-0.46101177,0.30938542
8579312500,-0.55442709,-0.018079361,-0.23006544,-0.79935056,-0.23521823,-0.80044949,-0.46072516,0.30887166
8581875000,-0.55389655,-0.01730594,-0.23064268,-0.79907286,-0.23450617,-0.80102938,-0.46009916,0.30884764
8584437500,-0.5539934,-0.016797431,-0.23347323,-0.79905546,-0.23492406,-0.79926288,-0.45872834,0.30844876
8587000000,-0.55366564,-0.016963018,-0.23198119,-0.79851484,-0.23562178,-0.79880214,-0.4566004,0.30851489
8589562500,-0.55376357,-0.017235519,-0.23151645,-0.79946369,-0.23730351,-0.7981897,-0.45858985,0.30859157
8592125000,-0.55369192,-0.016208017,-0.23550969,-0.80030626,-0.23746864,-0.80120897,-0.45802143,0.31173247
8594687500,-0.5537225,-0.016670557,-0.23299262,-0.8017776,-0.23476805,-0.79805475,-0.45842558,0.30981785
8597250000,-0.55247241,-0.016437087,-0.2338022,-0.80057192,-0.23785515,-0.79681945,-0.45740339,0.31002885
8599812500,-0.55315799,-0.015994297,-0.23482177,-0.80195129,-0.2394461,-0.80073732,-0.45771962,0.31080988
8602375000,-0.55415648,-0.016088283,-0.23853603,-0.80104834,-0.24042876,-0.80163014,-0.45553845,0.31401625
8604937500,-0.55365008,-0.015319025,-0.23783119,-0.80154556,-0.24240257,-0.80291158,-0.45514953,0.3127144
8607500000,-0.55208987,-0.015209852,-0.23901998,-0.8009156,-0.24092561,-0.80024028,-0.45576504,0.31391546
8610062500,-0.55222458,-0.014788124,-0.23927818,-0.79863518,-0.24146369,-0.79941994,-0.45477286,0.31395802
8612625000,-0.55284148,-0.013584046,-0.23943177,-0.80022913,-0.2435609,-0.80063587,-0.45491382,0.3135443
