!CSV A.01.01
!Agilent Technologies,N5230C,MY49000690,A.09.42.22
!Agilent N5230C: A.09.42.22
!Date: Wednesday, April 12, 2017 13:45:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
8635687500,-0.44883728,-0.20755967,-0.15360938,-0.85525942,-0.16009942,-0.85213149,-0.35022298,0.34967977
8638250000,-0.44834822,-0.20659932,-0.1570562,-0.85280091,-0.15812218,-0.85123223,-0.34881416,0.3493742
8640812500,-0.45041347,-0.20667246,-0.15531051,-0.85439259,-0.16089515,-0.85335636,-0.34910363,0.35031143
8643375000,-0.4494473,-0.20658474,-0.15791024,-0.853535,-0.15943974,-0.85303092,-0.34960002,0.35099563
8645937500,-0.45091349,-0.2060976,-0.15579583,-0.85389602,-0.16124438,-0.85310024,-0.34808108,0.35097608
8648500000,-0.4519054,-0.2089323,-0.15776145,-0.85561782,-0.16196233,-0.85446072,-0.34834898,0.35100046
8651062500,-0.45108837,-0.20682907,-0.15754037,-0.8527723,-0.16076434,-0.85144067,-0.34818786,0.35165271
8653625000,-0.44946522,-0.20767011,-0.15911007,-0.85283875,-0.16052549,-0.85124892,-0.34795603,0.35350308
8656187500,-0.45037267,-0.20605856,-0.16077006,-0.85367543,-0.16133358,-0.85310531,-0.34719333,0.35309133
8658750000,-0.45038897,-0.20635626,-0.16094004,-0.85545999,-0.16211896,-0.8524437,-0.3462581,0.35172296
8661312500,-0.45065147,-0.20520407,-0.16123664,-0.8535307,-0.16420542,-0.85207832,-0.34665158,0.35101962
8663875000,-0.45143852,-0.20583406,-0.16134432,-0.85502106,-0.16551605,-0.85336113,-0.34653646,0.35222155
8666437500,-0.45073736,-0.20508185,-0.1641086,-0.85287648,-0.16463345,-0.85229367,-0.34422359,0.35232189
8669000000,-0.45129353,-0.20431684,-0.16357006,-0.85175478,-0.16616829,-0.84868693,-0.34299478,0.3504383
8671562500,-0.45114163,-0.20446923,-0.16657442,-0.85003263,-0.16832153,-0.85428381,-0.34298146,0.35447475
8674125000,-0.45078909,-0.20475338,-0.16648205,-0.85122758,-0.17005363,-0.85515493,-0.34316638,0.35459059
8676687500,-0.4511843,-0.20416786,-0.16574655,-0.85327363,-0.16934857,-0.8521111,-0.34274438,0.35445091
8679250000,-0.45036113,-0.20392933,-0.16812186,-0.85340977,-0.16856807,-0.85088634,-0.34404168,0.35482168
8681812500,-0.4509961,-0.20371819,-0.16660351,-0.85342628,-0.16883363,-0.84962338,-0.34307376,0.35251135
8684375000,-0.45108646,-0.20363981,-0.16762967,-0.85303694,-0.16839597,-0.8539322,-0.3421919,0.35363364
8686937500,-0.45083109,-0.20323573,-0.16918297,-0.85536647,-0.17220692,-0.85354424,-0.34228399,0.35364008
8689500000,-0.45007852,-0.20328775,-0.16779843,-0.85195595,-0.16979155,-0.85188258,-0.34098837,0.35422412
8692062500,-0.45050782,-0.20267817,-0.1700567,-0.85062993,-0.16883324,-0.85007018,-0.34138966,0.35543716
8694625000,-0.45077887,-0.20236623,-0.16873075,-0.85175431,-0.17434464,-0.8510192,-0.3402577,0.35457289
8697187500,-0.4503679,-0.20168565,-0.16869554,-0.8498742,-0.17428507,-0.85282022,-0.34043962,0.35569906
8699750000,-0.45039707,-0.20178631,-0.17145121,-0.84910738,-0.17268811,-0.85314977,-0.33982486,0.35578328
8702312500,-0.45013997,-0.20183764,-0.17217973,-0.85370219,-0.1738316,-0.85299516,-0.33818522,0.35660926
8704875000,-0.45156965,-0.20206301,-0.17231061,-0.85600013,-0.17274678,-0.85301661,-0.33790532,0.35753861
8707437500,-0.44992983,-0.20060037,-0.17434536,-0.85086823,-0.17721981,-0.85200721,-0.33769622,0.35620159
8710000000,-0.44928035,-0.19991779,-0.1744826,-0.85034508,-0.17619589,-0.85064024,-0.33742395,0.35624477
8712562500,-0.44999999,-0.19962889,-0.17516249,-0.85135138,-0.17735639,-0.85011065,-0.33684015,0.35752609
8715125000,-0.44994289,-0.1991592,-0.1746745,-0.85225695,-0.17749476,-0.85181588,-0.33665156,0.35861418
8717687500,-0.44963914,-0.20001514,-0.17423567,-0.85207576,-0.17884304,-0.85223621,-0.33787709,0.35819152
8720250000,-0.44945344,-0.20086539,-0.17407319,-0.85252947,-0.17684928,-0.85056078,-0.33821553,0.35808024
8722812500,-0.44747883,-0.19995476,-0.17631207,-0.85265344,-0.1787308,-0.84894764,-0.3351045,0.35770756
8725375000,-0.4489921,-0.19977124,-0.17904143,-0.85285115,-0.17963538,-0.8509115,-0.33550775,0.358511
8727937500,-0.45065114,-0.1993469,-0.17994672,-0.85295814,-0.18259281,-0.85075408,-0.33418968,0.36036959
8730500000,-0.44936416,-0.19834587,-0.18091467,-0.85177493,-0.18187739,-0.85065109,-0.33387709,0.36001351
