

-----------------------------------------------------------------------------
       Gamma-Scout    -- Calculation of Raw-Data --
-----------------------------------------------------------------------------
       "File : GAMMA_2010_07_09_09-14-27.DAT"
-----------------------------------------------------------------------------
The ID of your Gamma-Scout is : 011344
-----------------------------------------------------------------------------
Measurements with overflow
of the counter-tube
(max.1000 Microsievert per hour) are signed with '*'.

Measurements where the choosen interval was not terminated
are signed with 'x'.

[cps] means 'counts per second' (recognized impulses per second)
Rate      in [cps]            means 'counts per second'
This value represents the measured pulses per second.
Dose      in [microSievert/h] means 'microSievert per hour'.

-----------------------------------------------------------------------------
                                PROCESSED DATA :
-----------------------------------------------------------------------------
Nr.	Range   	from	            to			Counts		Rate		Dose
-----------------------------------------------------------------------------
 224	 1 min	03:03 09.07.10	03:04 09.07.10	0000000037	0.617 	0.402  
 225	 1 min	03:04 09.07.10	03:05 09.07.10	0000000037	0.617 	0.402  
 226	 1 min	03:05 09.07.10	03:06 09.07.10	0000000036	0.600 	0.391  
 227	 1 min	03:06 09.07.10	03:07 09.07.10	0000000032	0.533 	0.347  
 228	 1 min	03:07 09.07.10	03:08 09.07.10	0000000022	0.367 	0.239  
 229	 1 min	03:08 09.07.10	03:09 09.07.10	0000000027	0.450 	0.293  
 230	 1 min	03:09 09.07.10	03:10 09.07.10	0000000036	0.600 	0.391  
 231	 1 min	03:10 09.07.10	03:11 09.07.10	0000000025	0.417 	0.271  
 232	 1 min	03:11 09.07.10	03:12 09.07.10	0000000032	0.533 	0.347  
 233	 1 min	03:12 09.07.10	03:13 09.07.10	0000000037	0.617 	0.402  
 234	 1 min	03:13 09.07.10	03:14 09.07.10	0000000030	0.500 	0.326  
 235	 1 min	03:14 09.07.10	03:15 09.07.10	0000000026	0.433 	0.282  
 236	 1 min	03:15 09.07.10	03:16 09.07.10	0000000042	0.700 	0.456  
 237	 1 min	03:16 09.07.10	03:17 09.07.10	0000000027	0.450 	0.293  
 238	 1 min	03:17 09.07.10	03:18 09.07.10	0000000039	0.650 	0.423  
 239	 1 min	03:18 09.07.10	03:19 09.07.10	0000000029	0.483 	0.315  
 240	 1 min	03:19 09.07.10	03:20 09.07.10	0000000022	0.367 	0.239  
 241	 1 min	03:20 09.07.10	03:21 09.07.10	0000000034	0.567 	0.369  
 242	 1 min	03:21 09.07.10	03:22 09.07.10	0000000031	0.517 	0.337  
 243	 1 min	03:22 09.07.10	03:23 09.07.10	0000000031	0.517 	0.337  
 244	 1 min	03:23 09.07.10	03:24 09.07.10	0000000026	0.433 	0.282  
 245	 1 min	03:24 09.07.10	03:25 09.07.10	0000000041	0.683 	0.445  
 246	 1 min	03:25 09.07.10	03:26 09.07.10	0000000029	0.483 	0.315  
 247	 1 min	03:26 09.07.10	03:27 09.07.10	0000000031	0.517 	0.337  
 248	 1 min	03:27 09.07.10	03:28 09.07.10	0000000025	0.417 	0.271  
 249	 1 min	03:28 09.07.10	03:29 09.07.10	0000000055	0.917 	0.597  
 250	 1 min	03:29 09.07.10	03:30 09.07.10	0000000041	0.683 	0.445  
 251	 1 min	03:30 09.07.10	03:31 09.07.10	0000000032	0.533 	0.347  
 252	 1 min	03:31 09.07.10	03:32 09.07.10	0000000028	0.467 	0.304  
 253	 1 min	03:32 09.07.10	03:33 09.07.10	0000000020	0.333 	0.217  
 254	 1 min	03:33 09.07.10	03:34 09.07.10	0000000028	0.467 	0.304  
 255	 1 min	03:34 09.07.10	03:35 09.07.10	0000000032	0.533 	0.347  
 256	 1 min	03:35 09.07.10	03:36 09.07.10	0000000031	0.517 	0.337  
 257	 1 min	03:36 09.07.10	03:37 09.07.10	0000000031	0.517 	0.337  
 258	 1 min	03:37 09.07.10	03:38 09.07.10	0000000023	0.383 	0.250  
 259	 1 min	03:38 09.07.10	03:39 09.07.10	0000000032	0.533 	0.347  
 260	 1 min	03:39 09.07.10	03:40 09.07.10	0000000026	0.433 	0.282  
 261	 1 min	03:40 09.07.10	03:41 09.07.10	0000000027	0.450 	0.293  
 262	 1 min	03:41 09.07.10	03:42 09.07.10	0000000029	0.483 	0.315  
 263	 1 min	03:42 09.07.10	03:43 09.07.10	0000000031	0.517 	0.337  
 264	 1 min	03:43 09.07.10	03:44 09.07.10	0000000030	0.500 	0.326  
 265	 1 min	03:44 09.07.10	03:45 09.07.10	0000000031	0.517 	0.337  
 266	 1 min	03:45 09.07.10	03:46 09.07.10	0000000039	0.650 	0.423  
 267	 1 min	03:46 09.07.10	03:47 09.07.10	0000000034	0.567 	0.369  
 268	 1 min	03:47 09.07.10	03:48 09.07.10	0000000031	0.517 	0.337  
 269	 1 min	03:48 09.07.10	03:49 09.07.10	0000000037	0.617 	0.402  
 270	 1 min	03:49 09.07.10	03:50 09.07.10	0000000033	0.550 	0.358  
 271	 1 min	03:50 09.07.10	03:51 09.07.10	0000000043	0.717 	0.467  
 272	 1 min	03:51 09.07.10	03:52 09.07.10	0000000030	0.500 	0.326  
 273	 1 min	03:52 09.07.10	03:53 09.07.10	0000000036	0.600 	0.391  
 274	 1 min	03:53 09.07.10	03:54 09.07.10	0000000029	0.483 	0.315  
